Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1/3/2000,BRITANNIA,EQ,703.25,705,759.5,705,758,756.9,741.01,7512,5.56649E+11,,,
1/4/2000,BRITANNIA,EQ,756.9,710,770,710,740,754.55,742.52,8135,6.04039E+11,,,
1/5/2000,BRITANNIA,EQ,754.55,755,759,705,740,735.3,739.92,6095,4.50978E+11,,,
1/6/2000,BRITANNIA,EQ,735.3,740,794.15,740,770,785.65,788.83,19697,1.55376E+12,,,
1/7/2000,BRITANNIA,EQ,785.65,808,848.5,798,848.5,848.5,827.53,33107,2.73971E+12,,,
1/10/2000,BRITANNIA,EQ,848.5,900,916.4,865,916.4,912.2,905.42,29575,2.67778E+12,,,
1/11/2000,BRITANNIA,EQ,912.2,920,920,839.25,865,853.75,858.02,20635,1.77052E+12,,,
1/12/2000,BRITANNIA,EQ,853.75,900,900,860.55,890.95,882.7,885.18,9312,8.24276E+11,,,
1/13/2000,BRITANNIA,EQ,882.7,890,920,875,885,881.4,898.96,19526,1.75531E+12,,,
1/14/2000,BRITANNIA,EQ,881.4,872.5,880,864,870,869.65,873.91,15675,1.36985E+12,,,
1/17/2000,BRITANNIA,EQ,869.65,880,890,870,878,875.95,881,7125,6.2771E+11,,,
1/18/2000,BRITANNIA,EQ,875.95,870.1,899,868,890,881.05,880.59,12526,1.10303E+12,,,
1/19/2000,BRITANNIA,EQ,881.05,889,911,889,906.5,900.85,901.81,14108,1.27228E+12,,,
1/20/2000,BRITANNIA,EQ,900.85,907,919.9,893.55,894,895.7,905.26,5671,5.13373E+11,,,
1/21/2000,BRITANNIA,EQ,895.7,897.9,897.9,885.25,890,888.25,888.42,1888,1.67734E+11,,,
1/24/2000,BRITANNIA,EQ,888.25,880,895,851,886,884.75,877.38,6351,5.57221E+11,,,
1/25/2000,BRITANNIA,EQ,884.75,871,890,870,870,881.25,878.74,6859,6.02727E+11,,,
1/27/2000,BRITANNIA,EQ,881.25,865.9,885,810.75,825.15,830.3,833.19,14678,1.22295E+12,,,
1/28/2000,BRITANNIA,EQ,830.3,800,815,782,790,792.45,796.65,6418,5.11293E+11,,,
1/31/2000,BRITANNIA,EQ,792.45,778.65,788,729.25,752,746.75,759.2,5416,4.11183E+11,,,
2/1/2000,BRITANNIA,EQ,746.75,751,759,721,725,731.5,738.07,7347,5.42263E+11,,,
2/2/2000,BRITANNIA,EQ,731.5,740,752,700,735,731.05,739.03,4939,3.65005E+11,,,
2/3/2000,BRITANNIA,EQ,731.05,750,750,695,715,714.15,713.32,11619,8.28807E+11,,,
2/4/2000,BRITANNIA,EQ,714.15,720,720,706,715,713.5,711.8,13147,9.35798E+11,,,
2/7/2000,BRITANNIA,EQ,713.5,701,717,700,704.8,701.7,708.3,7195,5.09622E+11,,,
2/8/2000,BRITANNIA,EQ,701.7,704,704,680,683,685.5,687.66,15083,1.0372E+12,,,
2/9/2000,BRITANNIA,EQ,685.5,714,740.35,695,704.1,707.4,711.68,23357,1.66226E+12,,,
2/10/2000,BRITANNIA,EQ,707.4,719,730,707,715,712.1,715.42,11341,8.1136E+11,,,
2/11/2000,BRITANNIA,EQ,712.1,723,729,700,710,704.15,712.06,20795,1.48072E+12,,,
2/14/2000,BRITANNIA,EQ,704.15,710,711,690,693,690.6,696.07,7765,5.40501E+11,,,
2/15/2000,BRITANNIA,EQ,690.6,681,681,640,668,653.3,657.71,18622,1.22479E+12,,,
2/16/2000,BRITANNIA,EQ,653.3,670,680,662,680,674.7,671.57,10876,7.30403E+11,,,
2/17/2000,BRITANNIA,EQ,674.7,670,698,670,674,677,679.09,8926,6.06159E+11,,,
2/18/2000,BRITANNIA,EQ,677,670,694.9,661,675,667.05,670.66,11460,7.68576E+11,,,
